Organization Name,Total Stability Rate (All Students),Total Student Mobility Rate (All students),Total Instances of Mobility (All students),Total Mobility Incidence Rate (All students),Students with Disabilities Pupil Count,Students with Disabilities Stable Student Count,Students with Disabilities Stability Rate,Students with Disabilities Mobile Student Count,Students with Disabilities Student Mobility Rate,Students with Disabilities Instances of Mobility,Students with Disabilities Mobility Incidence Rate,English Language Learners Pupil Count,English Language Learners Stable Student Count,English Language Learners Stability Rate,English Language Learners Mobile Student Count,English Language Learners Student Mobility Rate,English Language Learners Instances of Mobility,English Language Learners Mobility Incidence Rate,Economically Disadvantaged Pupil Count,Economically Disadvantaged Stable Student Count,Economically Disadvantaged Stability Rate,Economically Disadvantaged Mobile Student Count,Economically Disadvantaged Student Mobility Rate,Economically Disadvantaged Instances of Mobility,Economically Disadvantaged Mobility Incidence Rate,Migrant Pupil Count,Migrant Stable Student Count,Migrant Stability Rate,Migrant Mobile Student Count,Migrant Student Mobility Rate,Migrant Instances of Mobility,Migrant Mobility Incidence Rate,Title 1 Pupil Count,Title 1 Stable Student Count,Title 1 Pupil Stability Rate,Title 1 Mobile Student Count,Title 1 Student Mobility Rate,Title 1 Instances of Mobility,Title 1 Mobility Incidence Rate,Homeless Pupil Count,Homeless Stable Student Count,Homeless Stability Rate,Homeless Mobile Student Count,Homeless Student Mobility Rate,Homeless Instances of Mobility,Homeless Mobility Incidence Rate,Gifted & Talented Pupil Count,Gifted & Talented Stable Student Count,Gifted & Talented Stability Rate,Gifted & Talented Mobile Student Count,Gifted & Talented Student Mobility Rate,Gifted & Talented Instances of Mobility,Gifted & Talented Mobility Incidence Rate
HOLLY RE-3,87.20%,12.80%,50,16.00%,31,26,83.90%,5,16.10%,7,22.60%,69,57,82.60%,12,0.174,15,21.70%,226,192,85.00%,34,0.15,42,18.60%,13,13,100.00%,0,0.00%,0,0.00%,165,137,83.00%,28,17.00%,35,21.20%,0,0,0.00%,0,0.00,0,0.00%,20,18,90.00%,2,10.00%,2,10.00%
WILEY RE-13 JT,83.30%,16.70%,53,19.20%,24,17,70.80%,7,29.20%,7,29.20%,8,8,100.00%,0,0,0,0.00%,142,106,74.60%,36,0.25,43,30.30%,2,2,100.00%,0,0.00%,0,0.00%,33,28,84.80%,5,15.20%,5,15.20%,0,0,0.00%,0,0.00,0,0.00%,7,7,100.00%,0,0.00%,0,0.00%
PUEBLO CITY 60,85.50%,14.50%,"3,228",17.10%,"2,573","2,153",83.70%,420,16.30%,486,18.90%,"1,162",961,82.70%,201,0.173,246,21.20%,"14,251","12,232",85.80%,"2,019",0.14,"2,411",16.90%,50,27,54.00%,23,46.00%,26,52.00%,"8,354","6,935",83.00%,"1,419",17.00%,"1,698",20.30%,"1,320","1,109",84.00%,211,0.16,255,19.30%,858,816,95.10%,42,4.90%,45,5.20%
PUEBLO COUNTY 70,85.40%,14.60%,"1,755",16.60%,"1,543","1,313",85.10%,230,14.90%,260,16.90%,413,334,80.90%,79,0.191,91,22.00%,"4,837","4,028",83.30%,809,0.17,923,19.10%,26,22,84.60%,4,15.40%,6,23.10%,"2,733","2,299",84.10%,434,15.90%,486,17.80%,55,24,43.60%,31,0.56,43,78.20%,478,453,94.80%,25,5.20%,29,6.10%
MEEKER RE1,85.50%,14.50%,129,16.80%,102,87,85.30%,15,14.70%,16,15.70%,58,49,84.50%,9,0.155,9,15.50%,267,210,78.70%,57,0.21,70,26.20%,2,0,0.00%,2,100.00%,2,100.00%,44,39,88.60%,5,11.40%,7,15.90%,6,3,50.00%,3,0.50,7,116.70%,38,38,100.00%,0,0.00%,0,0.00%
RANGELY RE-4,88.80%,11.20%,66,12.40%,67,64,95.50%,3,4.50%,3,4.50%,8,4,50.00%,4,0.5,4,50.00%,198,169,85.40%,29,0.15,32,16.20%,0,0,0.00%,0,0.00%,0,0.00%,41,40,97.60%,1,2.40%,1,2.40%,9,8,88.90%,1,0.11,1,11.10%,21,21,100.00%,0,0.00%,0,0.00%
DEL NORTE C-7,89.30%,10.70%,51,10.70%,40,38,95.00%,2,5.00%,2,5.00%,17,15,88.20%,2,0.118,2,11.80%,254,220,86.60%,34,0.13,34,13.40%,8,7,87.50%,1,12.50%,1,12.50%,189,167,88.40%,22,11.60%,22,11.60%,21,20,95.20%,1,0.05,1,4.80%,8,8,100.00%,0,0.00%,0,0.00%
MONTE VISTA C-8,83.10%,16.90%,253,19.80%,137,114,83.20%,23,16.80%,29,21.20%,125,95,76.00%,30,0.24,43,34.40%,802,702,87.50%,100,0.13,123,15.30%,61,32,52.50%,29,47.50%,40,65.60%,848,702,82.80%,146,17.20%,175,20.60%,2,2,100.00%,0,0.00,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%
SARGENT RE-33J,88.40%,11.60%,58,12.90%,28,25,89.30%,3,10.70%,3,10.70%,14,13,92.90%,1,0.071,1,7.10%,152,132,86.80%,20,0.13,21,13.80%,11,7,63.60%,4,36.40%,4,36.40%,232,203,87.50%,29,12.50%,33,14.20%,1,1,100.00%,0,0.00,0,0.00%,14,14,100.00%,0,0.00%,0,0.00%
HAYDEN RE-1,80.60%,19.40%,108,23.80%,55,50,90.90%,5,9.10%,5,9.10%,23,16,69.60%,7,0.304,7,30.40%,206,150,72.80%,56,0.27,76,36.90%,0,0,0.00%,0,0.00%,0,0.00%,200,171,85.50%,29,14.50%,41,20.50%,10,3,30.00%,7,0.70,9,90.00%,13,12,92.30%,1,7.70%,2,15.40%
