2017 SAT and PSAT10 District and School Results  - EMBARGOED UNTIL 10:00 A.M. ON AUGUST 17TH ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Means are calculated using only valid scores in the denominator.,,,,,,,,,,,,,,,,
* Values suppressed to protect student privacy.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Test,District Number,District Name,School Number,School Name,Total Students,Valid Scores,Evidence Based Reading and Writing Mean Score,Math Mean Score,Overall Mean Score,Participation Percent,2016 Valid Scores,2016 Evidence Based Reading and Writing Mean Score,2016 Math Mean Score,2016 Overall Mean Score,2016 Participation Percent,Mean Overall Score Change
PSAT  ,0520,CHEYENNE COUNTY RE-5,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0520,CHEYENNE COUNTY RE-5,1612,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0540,CLEAR CREEK RE-1,0000,DISTRICT RESULTS,    63,60,479.7,464.2, 943.8, 95.2,58,493.3,480.3,973.6,93.5,-29.8
PSAT  ,0540,CLEAR CREEK RE-1,4216,CLEAR CREEK HIGH SCHOOL,    63,60,479.7,464.2, 943.8, 95.2,58,493.3,480.3,973.6,95.1,-29.8
PSAT  ,0550,NORTH CONEJOS RE-1J,0000,DISTRICT RESULTS,    90,84,473.5,462.1, 935.6, 93.3,92,454.5,464.0,918.5,100.0,17.1
PSAT  ,0550,NORTH CONEJOS RE-1J,1378,CENTAURI HIGH SCHOOL,    81,76,483.4,469.6, 953.0, 93.8,81,464.9,475.8,940.7,100.0,12.3
PSAT  ,0550,NORTH CONEJOS RE-1J,6339,NORTH CONEJOS ALTERNATIVE PROGRAM,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0560,SANFORD 6J,0000,DISTRICT RESULTS,    34,33,489.4,471.8, 961.2, 97.1,27,483.0,459.3,942.2,100.0,19.0
PSAT  ,0560,SANFORD 6J,7616,SANFORD JUNIOR/SENIOR HIGH SCHOOL,    34,33,489.4,471.8, 961.2, 97.1,27,483.0,459.3,942.2,100.0,19.0
PSAT  ,0580,SOUTH CONEJOS RE-10,0000,DISTRICT RESULTS,*,< 16,*,*,*,*,21,398.6,416.2,814.8,87.5,*
PSAT  ,0580,SOUTH CONEJOS RE-10,0252,ANTONITO HIGH SCHOOL,*,< 16,*,*,*,*,21,398.6,416.2,814.8,87.5,*
PSAT  ,0640,CENTENNIAL R-1,0000,DISTRICT RESULTS,    23,21,423.8,419.5, 843.3, 91.3,< 16,*,*,*,*,*
PSAT  ,0640,CENTENNIAL R-1,1398,CENTENNIAL SCHOOL,    23,21,423.8,419.5, 843.3, 91.3,< 16,*,*,*,*,*
